"10047";"Jonassen";"Peder";"1967-5-7";"Byfogd Koss gate 132";"";"";""
"10048";"Sunde";"Hussein";"1994-10-11";"Aksel Nilsens veg 41";"";"";""
"10049";"Kristiansen";"Petter";"1987-7-3";"Vesthellinga 170";"";"";""
"10050";"Knutsen";"Thomas";"1989-10-8";"Monrad Mjeldes vei 212";"";"";""
"10051";"Knutsen";"Tuva";"1999-17-1";"Kaiekroken 37";"";"";""
"10052";"Solem";"Jan";"1936-16-2";"Opalveien 212";"";"";""
"10053";"Fredriksen";"Ingeborg";"1981-27-4";"Ravnebakken 64";"";"";""
"10054";"Røed";"Sigurd";"1962-17-8";"Skogsbakken 42";"";"";""
"10055";"Gram";"Andrea";"1991-16-8";"Halvdankroken 168";"";"";""
"10056";"Sletten";"Karoline";"1998-21-1";"Sundhauggata 232";"";"";""
"10057";"Knutsen";"Marius";"1944-17-4";"Klausegata 102";"";"";""
"10058";"Bråten";"Espen";"1974-30-5";"Gimle 63";"";"";""
"10059";"Aune";"Amina";"1936-13-8";"Myraveien (Skjeberg) 175";"";"";""
"10060";"Johansen";"Victoria";"1938-12-1";"Elgefaret 138";"";"";""
"10061";"Klausen";"Aylin";"1939-17-8";"Apeltunhaugene 27";"";"";""
"10062";"Solberg";"Celina";"1994-3-12";"Stangs gate 120";"";"";""
"10063";"Johannesen";"Christian";"1976-10-11";"Guldmand Brygge 77";"";"";""
"10064";"Jakobsen";"Max";"1958-24-4";"Fjelltun 169";"";"";""
"10065";"Bø";"Arian";"1956-5-6";"Hansbakken 228";"";"";""
"10066";"Granly";"Iver";"1986-30-11";"Forsythiakroken 223";"";"";""
"10067";"Apeland";"Daniel";"1963-22-2";"Dokkeskjærskaien 150";"";"";""
"10068";"Karlsen";"Selma";"1967-23-8";"Håkon Håkonssons veg 129";"";"";""
"10069";"Olsen";"Amund";"1951-25-12";"Holmliaveien 196";"";"";""
"10070";"Aune";"Magnus";"1941-10-10";"Øvre Høn terrasse 221";"";"";""
"10071";"Haavik";"Frida";"1981-22-6";"Brodtkorbs vei 75";"";"";""
"10072";"Hansson";"Håkon";"1937-20-11";"Åsjordet 176";"";"";""
"10073";"Sæther";"Simen";"1942-31-1";"Ole Smedstads veg 249";"";"";""
"10074";"Hovden";"Aaron";"1970-19-8";"Dikterstubben 143";"";"";""
"10075";"Omar";"Elias";"1940-25-2";"Børstadbuen 159";"";"";""
"10076";"Ødegaard";"Marius";"1984-7-2";"Einervegen 7";"";"";""
"10077";"Pedersen";"Cornelia";"1962-13-2";"Vestre Olsvikveg 249";"";"";""
"10078";"Sandberg";"Nathalie";"1971-30-4";"Bergljots vei 216";"";"";""
"10079";"Pettersen";"Maximillian";"1941-7-10";"Blåbærveien 203";"";"";""
"10080";"Pettersen";"Aurora";"1942-4-6";"Lekestien 154";"";"";""
"10081";"Sneve";"Eric";"1960-22-4";"Ådlandsstraumen 170";"";"";""
"10082";"Foss";"Albert";"1999-7-5";"Helge Væringsaasens gate 195";"";"";""
"10083";"Dammen";"Richard";"1989-4-12";"Rugdevegen 123";"";"";""
"10084";"Dyrøy";"Camilla";"1977-23-6";"Helsethellinga 11";"";"";""
"10085";"Valen";"Agnes";"1956-18-10";"Yorkstien 133";"";"";""
"10086";"Opstad";"Nora";"1993-31-10";"St Sunnivas gate 162";"";"";""
"10087";"Kristiansen";"Sara";"1956-28-9";"Skovly 88";"";"";""
"10088";"Pedersen";"Caroline";"1947-14-9";"Leiv Eirikssons vei 36";"";"";""
"10089";"Bjerke";"Joakim";"1994-20-5";"Storåssvingen 233";"";"";""
"10090";"Undheim";"Terje";"1958-4-10";"Trengereidgeila 85";"";"";""
"10091";"Bjørkhaug";"Marie";"1933-1-9";"Reinroseveien 207";"";"";""
"10092";"Gjerstad";"Ingrid";"1959-30-3";"Kirkegata 6";"";"";""
"10093";"Bogen";"Selma";"1990-9-8";"Sote Jarls gate 128";"";"";""
"10094";"Larsen";"Bertine";"1954-8-10";"Hassingveien 233";"";"";""
"10095";"Svendsen";"Julian";"1970-25-4";"Bjerkestien 248";"";"";""
"10096";"Hjelvik";"Theodor";"1962-9-6";"Brunsvikveien 129";"";"";""
"10097";"Bråthen";"Nathalie";"1995-30-9";"Tambarskjelves gate 117";"";"";""
"10098";"Sørensen";"Lara";"1960-7-12";"Borgemarka 76";"";"";""
"10099";"Lunde";"Emil";"1967-8-5";"Lillejordet 167";"";"";""
"10100";"Bråthen";"Elisabeth";"1968-31-5";"Myrvollveien 228";"";"";""
"10101";"Dyrøy";"Vera";"1977-28-6";"Buhusheia 126";"";"";""
"10102";"Alver";"Maia";"1981-2-6";"Erik Bues veg 53";"";"";""
"10103";"Sjursen";"Eva";"1954-4-6";"Vardeveien 144";"";"";""
"10104";"Eriksson";"Stella";"1996-29-12";"Yngves vei 110";"";"";""
"10105";"Horten";"Theodor";"1983-15-10";"Stovnerlia 198";"";"";""
"10106";"Johansen";"Lina";"1935-23-11";"Prost Nossens vei 1";"";"";""
"10107";"Eilertsen";"Sigurd";"1967-27-6";"Skogveien 7";"";"";""
"10108";"Kristiansen";"Aisha";"1972-29-2";"Øvsttunlien 47";"";"";""
"10109";"Aasen";"Emma";"1972-28-4";"Gulliksrudveien 60";"";"";""
"10110";"Ovesen";"Gabriel";"1976-4-2";"Kari Lofthus gate 235";"";"";""
"10111";"Glesnes";"Pernille";"1942-12-12";"Stormyrvegen 123";"";"";""
"10112";"Nilsen";"Filip";"1995-21-1";"Floaveien 51";"";"";""
"10113";"Blystad";"Karoline";"1991-3-1";"Falkangervegen 58";"";"";""
"10114";"Iversen";"Olav";"1980-6-6";"Bardehvalvegen 79";"";"";""
"10115";"Iversen";"Lise";"1981-24-7";"Åsesvingen 158";"";"";""
"10116";"Le";"Sander";"1975-26-7";"Johan Fastings gate 71";"";"";""
"10117";"Nordby";"Edith";"1938-27-5";"Skognesvegen 129";"";"";""
"10118";"Sørensen";"Jakob";"1972-7-1";"Garver Ytteborgs vei 203";"";"";""
"10119";"Dalen";"Leah";"1983-26-9";"Søndre Holme 136";"";"";""
"10120";"Langås";"Samuel";"1964-19-1";"Anillaveien 244";"";"";""
"10121";"Amundsen";"Celine";"1997-16-2";"Finnegårdsgaten 244";"";"";""
"10122";"Andersen";"Fredrik";"1937-6-4";"Bausteinbergan 116";"";"";""
"10123";"Due";"Dennis";"1939-29-6";"Seljeveien 49";"";"";""
"10124";"Stokke";"Mohammed";"1963-14-2";"Sonerud 119";"";"";""
"10125";"Kristiansen";"Petter";"1950-25-2";"Skusetmarka 229";"";"";""
"10126";"Helseth";"Brage";"1963-9-12";"Vinnulstadveien 133";"";"";""
"10127";"Bashir";"Emilie";"1989-7-1";"Neptuns vei 129";"";"";""
"10128";"Sommer";"Emma";"1986-3-8";"Forsøket 183";"";"";""
"10129";"Hansen";"Henriette";"1953-29-10";"Vestre Murallmenningen 52";"";"";""
"10130";"Risdal";"Lucas";"1937-29-8";"Leirelva 29";"";"";""
"10131";"Horpestad";"Andrea";"1987-7-1";"Strandengveien 239";"";"";""
"10132";"Arntzen";"Thea";"1980-13-2";"Langerødvegen 35";"";"";""
"10133";"Myhre";"Iselin";"1955-18-7";"Velven 126";"";"";""
"10134";"Pedersen";"Christian";"1949-1-11";"Austadgangen 41";"";"";""
"10135";"Sanden";"Melina";"1939-10-11";"Bulows vei 127";"";"";""
"10136";"Johansen";"Liv";"1992-28-10";"Erik Pontoppidans gate 89";"";"";""
"10137";"Fossheim";"Sophia";"1971-23-6";"Skolebakken 228";"";"";""
"10138";"Johnsen";"Maren";"1964-19-6";"Fagertunveien 22";"";"";""
"10139";"Hagen";"Isabella";"1967-1-2";"Elgveien 66";"";"";""
"10140";"Normann";"Johannes";"1957-23-8";"Gåslandtunet 220";"";"";""
"10141";"Heiberg";"Marthe";"1963-5-3";"Åsryggen 222";"";"";""
"10142";"Hansen";"Martin";"1992-31-10";"Einervegen 143";"";"";""
"10143";"Antonsen";"Levi";"1965-19-9";"Dikselveien 111";"";"";""
"10144";"Thomassen";"Oliver";"1987-13-2";"Hofsfossveien 203";"";"";""
"10145";"Dahlen";"Aslak";"1952-30-5";"Østre Bingsa industriveg 190";"";"";""
"10146";"Eriksen";"Ahmed";"1957-25-2";"Glaservegen 210";"";"";""
"10147";"Buvik";"Tiril";"1936-17-2";"Martin Døvings veg 197";"";"";""
"10148";"Rong";"Signe";"1949-6-9";"Draupnerveien 65";"";"";""
"10149";"Nilsen";"Sondre";"1939-21-10";"Wessels gate 8";"";"";""
"10150";"Høyland";"Bendik";"1963-7-5";"Åsbieveien 197";"";"";""
"10151";"Lillehagen";"Lily";"1983-16-12";"Hamarøybakken 12";"";"";""
"10152";"Aas";"Tobias";"1961-20-7";"Ljabrukollen terrasse 234";"";"";""
"10153";"Dahl";"Tommy";"1978-8-9";"Hesteskoen 48";"";"";""
"10154";"Henriksen";"Miriam";"1935-6-10";"Sprinten 108";"";"";""
"10155";"Paulsen";"Sofie";"1999-30-12";"Telthussmauet 97";"";"";""
"10156";"Rygh";"Elea";"1992-3-6";"Underlia 150";"";"";""
"10157";"Stormoen";"Rikke";"1959-17-10";"Apenesbakken 229";"";"";""
"10158";"Refvik";"Sander";"1974-23-8";"Kjøpmannsgata 59";"";"";""
"10159";"Bjerkan";"Vilje";"1939-31-1";"Røykåsveien 12";"";"";""
"10160";"Evju";"Ea";"1981-7-11";"Meierkollen 60";"";"";""
"10161";"Kristiansen";"Elina";"1957-25-10";"Strykerveien 214";"";"";""
"10162";"Haave";"Leo";"1961-20-9";"Skarpåsveien 130";"";"";""
"10163";"Haukenes";"Christian";"1953-10-12";"Skreddersmauet 224";"";"";""
"10164";"Eriksen";"Ida";"1944-21-9";"Øvre Sørliveg 41";"";"";""
"10165";"Brevik";"Tomine";"1977-4-5";"Otto Blehrs vei 161";"";"";""
"10166";"Jenssen";"Iselin";"1947-24-5";"Nøkken 132";"";"";""
"10167";"Grøneng";"Jens";"1993-10-8";"Olinejordet 86";"";"";""
"10168";"Langås";"Leon";"1992-24-1";"Ellingsrudkleiva 70";"";"";""
"10169";"Gundersen";"Liva";"1990-2-11";"Brynesteinveien 185";"";"";""
"10170";"Rønning";"Alva";"1998-21-2";"Linegralia 163";"";"";""
"10171";"Balstad";"Milla";"1985-13-1";"Finstadsletta 204";"";"";""
"10172";"Hole";"Isabel";"1970-22-3";"Nils Hønsvaldsgate 18";"";"";""
"10173";"Flåten";"Odin";"1963-10-11";"Solbergkroken 75";"";"";""
"10174";"Larsen";"Isabella";"1934-13-7";"Hunsrødkroken 162";"";"";""
"10175";"Høyland";"Emma";"1978-16-4";"Kjulsliveien 220";"";"";""
"10176";"Westrum";"Nikolai";"1998-18-4";"Smørsteinåsen 184";"";"";""
"10177";"Karlsen";"Thea";"1962-12-2";"Kongshavnveien 100";"";"";""
"10178";"Brevik";"Tuva";"1985-19-4";"Apanesveien 139";"";"";""
"10179";"Grande";"Cassandra";"1984-30-10";"Vaskernveien 53";"";"";""
"10180";"Eng";"Amy";"1979-24-10";"Nordstrandvegen 88";"";"";""
"10181";"Krogstad";"Freya";"1944-25-3";"Rådyrbakken 129";"";"";""
"10182";"Andersen";"Erica";"1965-1-12";"Rosendalsgata 198";"";"";""
"10183";"Ross";"Alan";"1953-17-2";"Klefstadhaugen 197";"";"";""
"10184";"Berg";"Fabian";"1942-16-9";"Bekkeveien 245";"";"";""
"10185";"Lindberg";"Johanne";"1934-16-1";"Svalevegen 169";"";"";""
"10186";"Aske";"Erik";"1949-21-7";"Kongleveien 107";"";"";""
"10187";"Frantzen";"Angelica";"1980-10-6";"Strand 7";"";"";""
"10188";"Tran";"Matheo";"1941-14-5";"Karl Andersens vei 199";"";"";""
"10189";"Løvaas";"Jon";"1990-5-12";"Leiv Eirikssons vei 196";"";"";""
"10190";"Johannessen";"Ferdinand";"1973-15-5";"Solfjellstubben 118";"";"";""
"10191";"Christensen";"Armin";"1952-8-10";"Steinullbakken 94";"";"";""
"10192";"Egeland";"Ingrid";"1988-4-10";"Eplehagan 221";"";"";""
"10193";"Glesnes";"Marius";"1967-18-12";"Risbakken 126";"";"";""
"10194";"Aspaas";"Jonas";"1994-11-11";"Christian Skredsvigs vei 195";"";"";""
"10195";"Rugland";"Elling";"1988-6-8";"Kristian Augusts gate 225";"";"";""
"10196";"Sæther";"Martine";"1987-11-10";"Hellesknatten 185";"";"";""
"10197";"Isdal";"Leander";"1972-29-5";"Fagervollen 195";"";"";""
"10198";"Gabrielsen";"Daniel";"1965-31-12";"Holstlia 6";"";"";""
"10199";"Nordbø";"Nicolai";"1939-12-5";"Nordskogen 219";"";"";""
"10200";"Ahmadi";"Brede";"1939-31-12";"Gjermundsens vei 84";"";"";""
"10201";"Kvalheim";"Maria";"1963-9-10";"Vollsletta 216";"";"";""
"10202";"Høiseth";"Gard";"1936-7-11";"Tørkoppveien 131";"";"";""
"10203";"Lien";"Sofia";"1978-16-4";"Persokkrossen 131";"";"";""
"10204";"Karlsen";"Jesper";"1977-31-7";"Harton Furøs gate 75";"";"";""
"10205";"Lid";"Simon";"1961-25-2";"Kolsåslia 27";"";"";""
"10206";"Steinsvik";"Lucas";"1993-5-7";"Mæbøveien 63";"";"";""
"10207";"Fjørtoft";"Victoria";"1996-26-12";"Øvre Lynghaugen 27";"";"";""
"10208";"Løvlien";"Alexander";"1949-29-4";"Orreveien 50";"";"";""
"10209";"Sveen";"Niklas";"1940-20-12";"Blåskjellveien 157";"";"";""
"10210";"Mikkelsen";"Sondre";"1967-12-9";"Rugdeveien 233";"";"";""
"10211";"Fossan";"Eskil";"1996-9-8";"Holtsmarks vei 153";"";"";""
"10212";"Hove";"Leon";"1967-2-7";"Gaupefaret 140";"";"";""
"10213";"Magnus";"Magnus";"1937-23-1";"Raukveien 249";"";"";""
"10214";"Valen";"Emily";"1956-25-8";"Skredderveien 237";"";"";""
"10215";"Wold";"Magnus";"1984-26-12";"Buveien 12";"";"";""
"10216";"Meyer";"Malin";"1968-25-8";"Erik Moens veg 76";"";"";""
"10217";"Søiland";"Jonas";"1977-29-11";"Sørmarkbakken 17";"";"";""
"10218";"Arntsen";"Tobias";"1941-31-5";"Skardsåsvegen 61";"";"";""
"10219";"Bjørnsen";"Lars";"1992-20-12";"Lathari 186";"";"";""
"10220";"Greve";"Emma";"1999-6-9";"Innstrandveien 222";"";"";""
"10221";"Stokke";"Marie";"1948-24-9";"Florveien 194";"";"";""
"10222";"Torsvik";"Leo";"1997-19-8";"Bjerkeliveien 242";"";"";""
"10223";"Martin";"Michelle";"1944-19-5";"Høili plass 119";"";"";""
"10224";"Halseth";"Runa";"1955-14-10";"Brages veg 7";"";"";""
"10225";"Hansen";"Angelica";"1972-4-5";"Smørblomstveien 81";"";"";""
"10226";"Røssland";"Liam";"1983-7-7";"Bankbakken 37";"";"";""
"10227";"Lid";"Mohammad";"1971-7-5";"Rognvegen 44";"";"";""
"10228";"Thune";"Julie";"1967-4-9";"Leiv Eriksons vei 74";"";"";""
"10229";"Yilmaz";"Sigurd";"1994-16-1";"Hageveien 103";"";"";""
"10230";"Brun";"Ayub";"1949-20-9";"Europaveien 244";"";"";""
"10231";"Phan";"Oda";"1966-3-7";"Kirkebakken 103";"";"";""
"10232";"Ahmed";"Oscar";"1982-2-5";"Oppen Gård 152";"";"";""
"10233";"Myhre";"Einar";"1987-4-6";"Laksegata 81";"";"";""
"10234";"Ryeng";"Mathilde";"1950-18-6";"Brages vei 29";"";"";""
"10235";"Lossius";"Leonora";"1956-14-5";"Mo terrasse 193";"";"";""
"10236";"Østli";"Cecilie";"1982-8-9";"Desiderias vei 22";"";"";""
"10237";"Løken";"Johanne";"1969-9-11";"Innspurten 233";"";"";""
"10238";"Pedersen";"Thomas";"1979-14-6";"Alaskasvingen 150";"";"";""
"10239";"Skauge";"Adrian";"1941-13-8";"Mor Go Hjertas vei 151";"";"";""
"10240";"Brenna";"Iben";"1992-4-5";"Kaspara Larsens vei 187";"";"";""
"10241";"Sørgård";"Thomas";"1940-3-1";"Lerstadlia 161";"";"";""
"10242";"Jensen";"Albert";"1968-3-6";"Bjørn Wirkolas vei 156";"";"";""
"10243";"Smeby";"Magnus";"1973-30-5";"Dåpanveien 138";"";"";""
"10244";"Rustand";"Ellinor";"1989-20-3";"Bergensveien 51";"";"";""
"10245";"Selle";"Lars";"1975-27-10";"Petter Olderskogs gate 140";"";"";""
"10246";"Kaur";"Marie";"1971-18-11";"Toppenhaugberget 150";"";"";""
"10247";"Wilhelmsen";"Eline";"1993-30-4";"Steinstuvegen 205";"";"";""
"10248";"Ramberg";"Haakon";"1953-10-10";"Tråkket 182";"";"";""
"10249";"Slåtten";"Ada";"1994-8-8";"Haralds vei 94";"";"";""
"10250";"Ødegård";"Oscar";"1996-13-9";"Ekornstien 180";"";"";""
"10251";"Løvaas";"Isak";"1994-26-1";"Vikoddvegen 57";"";"";""
"10252";"Reppen";"Håvard";"1978-18-12";"Vallestrandveien 142";"";"";""
"10253";"Aakre";"Vera";"1952-27-3";"Hillesøyvegen 143";"";"";""
"10254";"Strand";"Viljar";"1999-1-10";"Øygardsvegen 107";"";"";""
"10255";"Ellefsen";"Kristine";"1948-26-4";"Torkjel Haugeruds veg 165";"";"";""
"10256";"Lauritzen";"Benjamin";"1956-28-8";"Løvåsveien 47";"";"";""
"10257";"Thoresen";"Thor";"1948-30-6";"Nordeidedalen 216";"";"";""
"10258";"Ask";"Christine";"1944-14-7";"Vestbakken 79";"";"";""
"10259";"Ødegaard";"Tiril";"1934-13-9";"Magistratbakken 212";"";"";""
"10260";"Brubakken";"Kristian";"1987-4-12";"Arnemannsveien 63";"";"";""
"10261";"Myhre";"Muhammed";"1983-10-5";"Heggvegen 201";"";"";""
"10262";"Jørstad";"Natalie";"1965-8-8";"Frøyas vei 41";"";"";""
"10263";"Håland";"Vetle";"1986-21-8";"Åskleiva 183";"";"";""
"10264";"Worren";"Gard";"1969-11-3";"Hvitveisen 92";"";"";""
"10265";"Erichsen";"Olivia";"1957-19-6";"Industriveien 95";"";"";""
"10266";"Ødegård";"Sophia";"1992-5-8";"Bekkefaret 88";"";"";""
"10267";"Erichsen";"Pia";"1950-20-12";"Kreklingbakken 221";"";"";""
"10268";"Thomassen";"Mikkel";"1989-18-10";"Maurtuveien 129";"";"";""
"10269";"Nordal";"Hermann";"1938-27-9";"Finnemanns plass 152";"";"";""
"10270";"Danielsen";"Håkon";"1993-23-8";"Byveien 224";"";"";""
"10271";"Frøyland";"Sandra";"1964-7-3";"Berntvegen 79";"";"";""
"10272";"Jensen";"Luna";"1972-15-9";"Framnesveien 42";"";"";""
"10273";"Paulsen";"Elias";"1968-1-2";"Nestoppen 38";"";"";""
"10274";"Kvamme";"Wilmer";"1963-10-4";"Haslum terrasse 191";"";"";""
"10275";"Hermansen";"Torgeir";"1969-19-2";"Almåshaugane 32";"";"";""
"10276";"Iversen";"Maja";"1994-10-4";"Kvennhusvegen 45";"";"";""
"10277";"Kristoffersen";"Lars";"1940-1-11";"Flintegata 45";"";"";""
"10278";"Johansen";"William";"1995-10-7";"Åstadbakken 154";"";"";""
"10279";"Hansen";"Aleksander";"1992-25-9";"Nyborgstubben 203";"";"";""
"10280";"Haaland";"Julian";"1962-5-2";"Henstadkollen 105";"";"";""
"10281";"Ryen";"Anna";"1948-13-1";"Eivindsvegen 26";"";"";""
"10282";"Paulsen";"Sofia";"1997-15-1";"Rudskroken 13";"";"";""
"10283";"Skau";"Maxim";"1991-24-12";"Ballings gate 207";"";"";""
"10284";"Størdal";"Kristoffer";"1977-13-1";"Nygata 21";"";"";""
"10285";"Hagen";"Eskil";"1955-12-4";"Kruneli 237";"";"";""
"10286";"Drønen";"Serina";"1955-11-11";"Travparkveien 32";"";"";""
"10287";"Tran";"Olivia";"1941-18-2";"Lykkjevegen 241";"";"";""
"10288";"Holen";"Johan";"1988-1-8";"Huginveien 186";"";"";""
"10289";"Jørgensen";"Frida";"1952-17-9";"Lahelle Brygge 190";"";"";""
"10290";"Hansen";"Eline";"1978-22-4";"Skjerpeveien 201";"";"";""
"10291";"Minge";"Mathias";"1960-14-4";"Steingata 238";"";"";""
"10292";"Olsen";"Martine";"1978-5-8";"Rustå 226";"";"";""
"10293";"Jensen";"Aslak";"1964-14-3";"Hildes vei 186";"";"";""
"10294";"Ellingsen";"Mille";"1943-30-6";"Uradalsvegen 64";"";"";""
"10295";"Torp";"Matilda";"1949-5-10";"Søndre Kullerød 142";"";"";""
"10296";"Dale";"Bjørn";"1948-1-10";"Voie Ringvei 159";"";"";""
"10297";"Aalvik";"Henrikke";"1946-15-1";"Kvernengbakken 209";"";"";""
"10298";"Berntsen";"Sindre";"1976-11-10";"Løkkeveien 36";"";"";""
"10299";"Digre";"Petter";"1985-29-10";"Kvartsveien 143";"";"";""
"10300";"Vollan";"Eskil";"1978-9-3";"Rasmus Sandviks vei 237";"";"";""
"10301";"Erdal";"Maia";"1937-16-12";"Frøylandtunet 115";"";"";""
"10302";"Eikrem";"Anna";"1965-30-6";"Jektvikveien 147";"";"";""
"10303";"Haugen";"Ingrid";"1943-24-5";"Embetsveien 158";"";"";""
"10304";"Hussain";"Mia";"1955-17-4";"Klettevegen 170";"";"";""
"10305";"Furu";"Leander";"1975-8-4";"Rismoveien 24";"";"";""
"10306";"Haug";"Maya";"1980-26-12";"Sildvikgata 93";"";"";""
"10307";"Haugland";"Magnus";"1983-17-12";"Apalveien 117";"";"";""
"10308";"Gundersen";"Ida";"1977-5-3";"Signalveien 171";"";"";""
"10309";"Grimstad";"Vetle";"1958-24-12";"Folefossveien 246";"";"";""
"10310";"Aasland";"Henriette";"1937-24-9";"Vassvikveien 207";"";"";""
"10311";"Volden";"Rachel";"1969-26-6";"Pans vei 187";"";"";""
"10312";"Pedersen";"Eivind";"1985-14-9";"Marie Wexelsens veg 171";"";"";""
"10313";"Hanssen";"Hedda";"1979-4-9";"Øverliveien 188";"";"";""
"10314";"Bjørgen";"Halvor";"1966-9-2";"Singsliveien 218";"";"";""
"10315";"Rogstad";"Celine";"1949-22-5";"Haakonsvernveien 128";"";"";""
"10316";"Pedersen";"Even";"1961-24-10";"Langerudsvingen 182";"";"";""
"10317";"Eilertsen";"Eirill";"1969-19-6";"Movegen 176";"";"";""
"10318";"Haaland";"Alexander";"1944-15-11";"Sletteheia 180";"";"";""
"10319";"Schei";"Amalie";"1934-7-8";"Våttavegen 170";"";"";""
"10320";"Eide";"Mia";"1976-7-7";"Tore Hunds vei 140";"";"";""
"10321";"Schanche";"Aleksander";"1993-11-11";"Fyrgata 160";"";"";""
"10322";"Sandnes";"Tuva";"1960-7-8";"Stuffen 60";"";"";""
"10323";"Brynildsen";"Mathilde";"1936-14-7";"Bolgveien 161";"";"";""
"10324";"Fredriksen";"Oda";"1997-15-5";"Sjukehusgata 137";"";"";""
"10325";"Utheim";"Henrik";"1946-9-2";"Vardaleitet 132";"";"";""
"10326";"Nygaard";"Hermine";"1976-21-12";"Tollinspektør Thues gate 21";"";"";""
"10327";"Pettersen";"Leander";"1989-1-7";"Henrik Ibsens vei 158";"";"";""
"10328";"Opheim";"Monika";"1953-6-12";"Raveien 241";"";"";""
"10329";"Sandum";"Eline";"1998-12-3";"Staurhaugen 9";"";"";""
"10330";"Lindseth";"Synne";"1953-26-11";"Mor Taraldsens vei 176";"";"";""
"10331";"Meland";"Lisa";"1980-18-7";"Gamle Stemvei 139";"";"";""
"10332";"Johansen";"Joar";"1959-19-5";"Årekjerret 205";"";"";""
"10333";"Zahl";"Tobias";"1957-5-2";"Garnveien 75";"";"";""
"10334";"Moen";"Peder";"1950-6-6";"Lachmanns vei 9";"";"";""
"10335";"Løkken";"Fredrik";"1948-22-10";"Åsryggen 9";"";"";""
"10336";"Gjerde";"Jonas";"1988-16-5";"Lauvåslia 94";"";"";""
"10337";"Richter";"Signe";"1971-26-1";"Bekkefaret 203";"";"";""
"10338";"Halden";"Sarah";"1951-30-6";"Idavollen 8";"";"";""
"10339";"Jacobsen";"Emil";"1981-30-6";"Tinius Olsens gate 187";"";"";""
"10340";"Aase";"Filip";"1940-17-6";"Stoaveien 33";"";"";""
